ec5_uuid,created_at,uploaded_at,created_by,title,1_Swamp,lat_2_location,long_2_location,accuracy_2_location,UTM_Northing_2_location,UTM_Easting_2_location,UTM_Zone_2_location,3_Species,4_approximate_number,5_approximate_number,6_No_plants_10m_radi,7_No_plants_10m_radi,8_No_plants_10m_radi,9_comments_for_plant,10_Record_any_eviden,11_BTR_evidence,12_BTR_evidence,13_Site_photopoint,14_Site_photopoint
b44268be-f4bf-48f2-baaa-bfada5a8787a,2023-05-06T07:24:51.000Z,2023-05-07T02:38:52.000Z,sos2.hccb@gmail.com,b44268be-f4bf-48f2-baaa-bfada5a8787a,BB21,,,,,,,Epacris rhombifolia,15,5,0,15,5,Severe dieback,BTR tunnel with fresh scats,b44268be-f4bf-48f2-baaa-bfada5a8787a_1683357858.jpg,b44268be-f4bf-48f2-baaa-bfada5a8787a_1683357868.jpg,b44268be-f4bf-48f2-baaa-bfada5a8787a_1683357881.jpg,b44268be-f4bf-48f2-baaa-bfada5a8787a_1683357887.jpg
35ef6470-1b84-4a89-97ec-129a113c23b0,2023-05-06T07:23:37.000Z,2023-05-07T02:39:39.000Z,sos1t.hccb@gmail.com,35ef6470-1b84-4a89-97ec-129a113c23b0,PB19,-31.95771,151.426804,5,6463171,351326,56J,sp. ,3,0,1,2,0,"PB19 HAKEA MICROCARPA: Generally healthy, few lateral branches w dieback and no leaves, some leaves yellowing w black dots, fruiting, 1 healthy juvenile detected",Few runways around shrub found but no scats,,,35ef6470-1b84-4a89-97ec-129a113c23b0_1683357538.jpg,35ef6470-1b84-4a89-97ec-129a113c23b0_1683357599.jpg
cb91b64d-51f4-4ebc-8663-686aca076f0c,2023-05-06T07:13:27.000Z,2023-05-07T02:39:36.000Z,sos1t.hccb@gmail.com,cb91b64d-51f4-4ebc-8663-686aca076f0c,PB02,-31.957741,151.426868,17,6463167,351332,56J,Epacris rhombifolia,10,0,0,10,0,"PB02: Dieback generally severe, most plants showing ﹥50% stems w dieback and leaf loss, few plants more severely affected w only couple stems bearing leaves, leaves yellowing sometimes w maroon tinge, lower leaves falling first","Runways from swamp up into Epacris clump through sedge, fresh scats found",cb91b64d-51f4-4ebc-8663-686aca076f0c_1683356890.jpg,,cb91b64d-51f4-4ebc-8663-686aca076f0c_1683357201.jpg,
46c6188b-b05a-41e4-b59a-78928ece0290,2023-05-06T06:54:07.000Z,2023-05-07T02:38:48.000Z,sos2.hccb@gmail.com,46c6188b-b05a-41e4-b59a-78928ece0290,BB20,,,,,,,Epacris rhombifolia,40,12,0,40,12,"Severe dieback, 75% branchescdead on most larger plants. Most larger plants nearly dead with only one or two branches with leaves",Two active BTR tunnels,46c6188b-b05a-41e4-b59a-78928ece0290_1683355961.jpg,46c6188b-b05a-41e4-b59a-78928ece0290_1683355992.jpg,46c6188b-b05a-41e4-b59a-78928ece0290_1683356025.jpg,46c6188b-b05a-41e4-b59a-78928ece0290_1683356035.jpg
21fc9df8-d285-4d76-9dbd-feaffae8b9cb,2023-05-06T06:45:17.000Z,2023-05-07T02:39:34.000Z,sos1t.hccb@gmail.com,21fc9df8-d285-4d76-9dbd-feaffae8b9cb,PB17,-31.958772,151.426789,3,6463053,351327,56J,Epacris rhombifolia,28,2,1,27,2,"PB17: Dieback medium, w most plants showing ﹤50% dieback, few more severely affected, leaves yellowing, sometimes w maroon tinge, lower leaves falling first, old pop w one healthy juvenile detected","Multiple runways and tunnels in Poa/sedge understory, old & med scats abundant, old swamp rat scats detected",21fc9df8-d285-4d76-9dbd-feaffae8b9cb_1683355189.jpg,21fc9df8-d285-4d76-9dbd-feaffae8b9cb_1683355447.jpg,21fc9df8-d285-4d76-9dbd-feaffae8b9cb_1683355072.jpg,21fc9df8-d285-4d76-9dbd-feaffae8b9cb_1683355026.jpg
9e4040f0-9187-4bbe-943e-6ff9a8318970,2023-05-06T06:18:14.000Z,2023-05-07T02:39:32.000Z,sos1t.hccb@gmail.com,9e4040f0-9187-4bbe-943e-6ff9a8318970,PB16,-31.95883,151.427459,5,6463048,351390,56J,sp. ,1,0,0,1,0,"PB16 HAKEA MICROCARPA: few leaves yellowing w black dots, loss of leaves on a few stems, producing fruit","Runway detected passing under shrub, w one old scat found",9e4040f0-9187-4bbe-943e-6ff9a8318970_1683353840.jpg,,9e4040f0-9187-4bbe-943e-6ff9a8318970_1683353735.jpg,9e4040f0-9187-4bbe-943e-6ff9a8318970_1683353797.jpg
edb62b33-049f-4b3e-aabd-45eb110518e6,2023-05-06T06:08:08.000Z,2023-05-07T02:38:45.000Z,sos2.hccb@gmail.com,edb62b33-049f-4b3e-aabd-45eb110518e6,BB19,,,,,,,sp. ,5,0,5,0,0,All Senecio gunnii healthy. Took soil sample,3 scats found in SW,edb62b33-049f-4b3e-aabd-45eb110518e6_1683353261.jpg,edb62b33-049f-4b3e-aabd-45eb110518e6_1683353268.jpg,edb62b33-049f-4b3e-aabd-45eb110518e6_1683353276.jpg,edb62b33-049f-4b3e-aabd-45eb110518e6_1683353285.jpg
f2fbec74-8f01-4ada-a90f-14950898d63e,2023-05-06T06:06:39.000Z,2023-05-07T02:39:29.000Z,sos1t.hccb@gmail.com,f2fbec74-8f01-4ada-a90f-14950898d63e,PB15,-31.958773,151.427423,25,6463054,351387,56J,Epacris rhombifolia,21,0,1,20,0,"PB15:  Dieback medium, most plants showing up to 50% dieback of stems & leaf loss, leaves yellowing, sometimes w maroon tinge, old population, brevifolia present w one healthy juvenile detected","Multiple runways and tunnels from swamp area into Epacris clumps, med and old scats abundant, no fresh scats detected",f2fbec74-8f01-4ada-a90f-14950898d63e_1683352924.jpg,f2fbec74-8f01-4ada-a90f-14950898d63e_1683352753.jpg,f2fbec74-8f01-4ada-a90f-14950898d63e_1683353195.jpg,f2fbec74-8f01-4ada-a90f-14950898d63e_1683353479.jpg
35ce9d96-d9e0-43c7-9d75-843a99f2dee4,2023-05-06T06:06:12.000Z,2023-05-07T02:38:43.000Z,sos2.hccb@gmail.com,35ce9d96-d9e0-43c7-9d75-843a99f2dee4,BB19,,,,,,,Epacris rhombifolia,4,0,0,4,0,2 larger plants with 50% + dead branches. 2 smaller plants with minor damage to lower branches,3 BTR scats found in SW,35ce9d96-d9e0-43c7-9d75-843a99f2dee4_1683353140.jpg,35ce9d96-d9e0-43c7-9d75-843a99f2dee4_1683353148.jpg,35ce9d96-d9e0-43c7-9d75-843a99f2dee4_1683353163.jpg,35ce9d96-d9e0-43c7-9d75-843a99f2dee4_1683353169.jpg
7b8b0d3d-ac32-4b23-a81b-03b4badc9583,2023-05-06T06:03:28.000Z,2023-05-07T02:38:40.000Z,sos2.hccb@gmail.com,7b8b0d3d-ac32-4b23-a81b-03b4badc9583,BB19,,,,,,,Epacris rhombifolia,3,0,0,3,0,2 plants with 50% + dead branches. 1 smaller plant in NE with minor lower branch damage,"BTR scats found in SW,  medium and old age",7b8b0d3d-ac32-4b23-a81b-03b4badc9583_1683352841.jpg,7b8b0d3d-ac32-4b23-a81b-03b4badc9583_1683352941.jpg,7b8b0d3d-ac32-4b23-a81b-03b4badc9583_1683352987.jpg,7b8b0d3d-ac32-4b23-a81b-03b4badc9583_1683353004.jpg
